doi,cluster,phase,note,year,tier,score,S_topo,N_link,direct,sim,nearest_known,generic,openalex
10.1111/j.1744-7429.2004.tb00293.x,light,4,Effects of Understory Foliage on Patterns of Light Attenuation near the Forest Floor,2004,1,5.795,4.795,5,4,0.211,Montgomery & Chazdon 2001,0,https://openalex.org/W2179213477
10.2139/ssrn.5937556,lai,4,An accurate approach for estimating leaf production phenology in evergreen and deciduous forests usi,2025,1,5.789,5.001,7,2,0.183,Zhu 2016,0,https://openalex.org/W7115899726
10.1146/annurev.ecolsys.34.011802.132428,evo,4,The Ecology and Evolution of Seed Dispersal: A Theoretical Perspective,2003,1,5.781,5.22,7,3,0.153,Hastings 1983,0,https://openalex.org/W2130977651
10.1016/j.foreco.2008.05.047,lai,4,Effect of thinning on LAI variance in heterogeneous forests,2008,1,5.765,5.015,7,3,0.178,Inoue 2014 bamboo LAI,0,https://openalex.org/W1973921871
10.1111/btp.12157,light,4,Canopy Openness Enhances Diversity of Ant–Plant Interactions in the Brazilian Amazon Rain Forest,2014,1,5.764,4.764,6,4,0.214,Helbach 2022,0,https://openalex.org/W2114339528
10.1109/tgrs.2015.2481492,lai,4,Assessing the Contribution of Woody Materials to Forest Angular Gap Fraction and Effective Leaf Area,2015,1,5.758,5.5,8,2,0.113,Chianucci 2019,0,https://openalex.org/W2288829032
10.1016/j.rse.2017.08.002,lai,4,Optimising prediction of forest leaf area index from discrete airborne lidar,2017,1,5.739,5.383,9,2,0.126,Demarez 2008,0,https://openalex.org/W2746458690
10.1007/s11676-026-02029-8,light,4,Spatiotemporal pattern and driving factors of leaf area index in a karst old-growth forest in southw,2026,1,5.735,4.735,5,4,0.271,Liu 2018,0,https://openalex.org/W7138351780
10.2307/2669494,field,4,Interpolation of Spatial Data: Some Theory for Kriging,2000,1,5.733,5.43,6,3,0.119,Keitt 2000 spectral NLM,0,https://openalex.org/W2168464387
10.2307/2261327,light,4,"Gap Size, Within-Gap Position and Canopy Structure Effects on Conifer Seedling Establishment",1996,1,5.732,5.224,6,3,0.146,Nicotra 1999,0,https://openalex.org/W2322373881
10.1016/j.jag.2010.03.002,lai,4,Leaf area index retrieval using gap fractions obtained from high resolution satellite data: Comparis,2010,1,5.728,4.743,7,2,0.209,Chianucci 2019,0,https://openalex.org/W2101410255
10.1002/ece3.9006,light,4,Smaller species experience mild adversity under shading in an old‐field plant community,2022,1,5.727,5.159,8,3,0.154,Pacala 1996 SORTIE,0,https://openalex.org/W4283326001
10.1007/978-1-4419-0851-3_451,lai,4,Photosynthetically Active Radiation: Measurement and Modeling,2012,1,5.723,4.867,7,2,0.192,Canham 1990,0,https://openalex.org/W2971712993
10.31390/gradschool_theses.2102,light,4,"Palm community development and influence on seedling establishment in a tropical moist forest, Panam",2001,1,5.71,4.725,5,4,0.209,Nicotra 1999,0,https://openalex.org/W4283009760
10.1093/biomet/37.1-2.17,field,4,NOTES ON CONTINUOUS STOCHASTIC PHENOMENA,1950,1,5.7,4.7,5,2,0.424,Whittle 1954,0,https://openalex.org/W2052611179
10.1007/978-1-4614-5806-7_451,lai,4,Photosynthetically Active Radiation: Measurement and Modeling,2013,1,5.687,4.831,7,2,0.192,Canham 1990,0,https://openalex.org/W1918094431
10.1016/j.ecolmodel.2004.04.030,forest,4,Simulating the impact of small-scale extrinsic disturbances over forest species volumetric light env,2004,1,5.671,5.671,6,5,0.068,Helbach 2022,0,https://openalex.org/W2023414123
,light,4,"The influence of the monocarpic herb, Isoglossa woodii, on subtropical forest tree dynamics and dive",2009,1,5.658,5.431,5,4,0.109,Canham 1990,0,https://openalex.org/W2306980708
10.1016/0169-5347(90)90095-u,light,4,Asymmetric competition in plant populations,1990,1,5.647,5.442,6,2,0.106,Bolker & Pacala 1999,0,https://openalex.org/W1968054382
10.1002/ecy.4443,light,4,High beta diversity of gaps contributes to plot‐level tree diversity in a tropical forest,2024,1,5.643,5.302,7,4,0.124,Runkle 1982,0,https://openalex.org/W4403196354
10.1093/forestscience/49.5.752,light,4,Light Transmittance Estimates in a Longleaf Pine Woodland,2003,1,5.643,5.067,7,3,0.155,Montgomery & Chazdon 2001,0,https://openalex.org/W22092109
10.1111/j.1365-2745.2006.01153.x,light,4,Species resistance and community response to wind disturbance regimes in northern temperate forests,2006,1,5.64,4.988,5,4,0.165,Pacala 1996 SORTIE,0,https://openalex.org/W2068556414
10.1017/s0266467404001531,light,4,"Influence of a common palm, Oenocarpus mapora, on seedling establishment in a tropical moist forest ",2004,1,5.639,5.101,6,4,0.15,Nicotra 1999,0,https://openalex.org/W1976754233
10.18174/121899,light,4,Dynamics of secondary forests,2007,1,5.626,4.626,4,3,0.284,Matsuo 2021,0,https://openalex.org/W200809768
10.1109/tgrs.2024.3353410,lai,4,Comparison of Semi-Physical and Empirical Models in the Estimation of Boreal Forest Leaf Area Index ,2024,1,5.621,4.621,6,3,0.216,Demarez 2008,0,https://openalex.org/W4390813027
10.1109/36.387593,lai,4,Quantifying the effect of canopy architecture on optical measurements of leaf area index using two g,1995,1,5.619,4.793,6,2,0.188,Chianucci 2019,0,https://openalex.org/W2135817270
10.1016/j.tree.2004.09.003,forest,4,Plant coexistence and the niche,2004,1,5.6,5.418,5,3,0.103,Helbach 2022,0,https://openalex.org/W2085073796
10.1126/science.aaf8957,forest,4,Positive biodiversity-productivity relationship predominant in global forests,2016,1,5.598,5.56,6,2,0.084,Ehbrecht 2021,0,https://openalex.org/W2519343095
10.1016/j.agrformet.2016.11.268,light,4,Stand structural drivers of microclimate in mature temperate mixed forests,2016,1,5.594,4.715,7,2,0.195,Helbach 2022,0,https://openalex.org/W2563987695
10.1007/bf00379411,light,4,Photographic estimation of photosynthetically active radiation: evaluation of a computerized techniq,1987,1,5.589,5.331,7,2,0.113,Canham 1990,0,https://openalex.org/W1980090780
10.1890/02-0038,forest,4,"GAP-DEPENDENT RECRUITMENT, REALIZED VITAL RATES, AND SIZE DISTRIBUTIONS OF TROPICAL TREES",2003,1,5.548,5.192,7,2,0.126,Canham 1990,0,https://openalex.org/W2123099878
10.1109/tgrs.2024.3372293,lai,4,Bottom-Up Estimation of Stand Leaf Area Index From Individual Tree Measurement Using Terrestrial Las,2024,1,5.546,4.993,7,2,0.152,Inoue 2014 bamboo LAI,0,https://openalex.org/W4392399498
10.1086/419172,forest,4,From Balance of Nature to Hierarchical Patch Dynamics: A Paradigm Shift in Ecology,1995,1,5.539,5.441,6,2,0.092,Legendre 1993,0,https://openalex.org/W2108204502
10.1002/9781118763551.ref,field,4,References and Author Index,2022,1,5.533,5.397,6,5,0.097,Demarez 2008,0,https://openalex.org/W4285599449
10.1016/j.foreco.2005.03.056,light,4,Simulation and quantification of the fine-scale spatial pattern and heterogeneity of forest canopy s,2005,1,5.528,4.952,6,3,0.155,Matsuo 2021,0,https://openalex.org/W2128565996
10.2307/2937096,light,4,Geostatistical Tools for Modeling and Interpreting Ecological Spatial Dependence,1992,1,5.515,5.515,6,4,0.061,Zhang 2004,0,https://openalex.org/W2169359815
10.1006/jmva.2001.2056,field,4,Compactly Supported Correlation Functions,2002,1,5.503,5.503,6,3,0.06,Guttorp & Gneiting 2006,0,https://openalex.org/W1968414728
10.1002/ece3.3528,light,4,How tree species identity and diversity affect light transmittance to the understory in mature tempe,2017,1,5.501,4.501,5,2,0.275,Montgomery & Chazdon 2001,0,https://openalex.org/W2767257965
10.2307/1937766,light,4,"Seedling Survival of Tropical Tree Species: Interactions of Dispersal Distance, Light‐Gaps, and Path",1984,1,5.495,5.215,6,3,0.116,Pacala 1996 SORTIE,0,https://openalex.org/W2008759849
10.1017/s026646740500235x,light,4,Light-dependent seedling survival and growth of four tree species in Costa Rican second-growth rain ,2005,1,5.495,4.495,6,3,0.242,Montgomery & Chazdon 2001,0,https://openalex.org/W2125210896
10.4081/jae.2010.1.33,lai,4,COMPARING OPTICALAND DIRECT METHODS FOR LEAFAREA INDEX DETERMINATION IN A MAIZE CROP,2010,1,5.492,4.674,6,2,0.187,Demarez 2008,0,https://openalex.org/W2094611144
10.1016/j.ecolmodel.2007.03.026,forest,4,Sapling responses to variations in gap densities and spatial configurations modeled using SORTIE,2007,1,5.486,5.304,5,5,0.103,Runkle 1982,0,https://openalex.org/W1981396506
10.1016/b978-012323448-3/50026-x,evo,4,References,2004,1,5.468,5.468,5,5,0.075,Fang 2019 LAI review,0,https://openalex.org/W4211002474
10.1086/283778,evo,4,Environmental Variability Promotes Coexistence in Lottery Competitive Systems,1981,1,5.467,5.369,5,2,0.092,Hamilton & May 1977,0,https://openalex.org/W1996991785
10.1016/j.agrformet.2014.08.001,lai,4,Impact of understorey on overstorey leaf area index estimation from optical remote sensing in five f,2014,1,5.466,4.814,6,3,0.165,Demarez 2008,0,https://openalex.org/W2136255993
10.1139/cjfr-2018-0005,lai,4,Using digital cover photography to track the canopy recovery process following a typhoon disturbance,2018,1,5.466,4.777,7,2,0.17,Leblanc 2005,0,https://openalex.org/W2796181376
10.1016/j.srs.2021.100027,lai,4,New insights of global vegetation structural properties through an analysis of canopy clumping index,2021,1,5.46,4.612,7,2,0.191,Fang 2019 LAI review,0,https://openalex.org/W3197968918
10.5194/bg-9-2203-2012,light,4,Basin-wide variations in Amazon forest structure and function are mediated by both soils and climate,2012,1,5.459,5.133,7,2,0.122,Stephenson 2005,0,https://openalex.org/W2121361055
10.1016/j.agrformet.2008.11.008,light,4,Determination of the tridimensional shape of canopy gaps using two hemispherical photographs,2009,1,5.457,4.457,6,3,0.317,Demarez 2008,0,https://openalex.org/W2003960199
10.1007/bf00044739,forest,4,Scale and resolution of forest structural pattern,1988,1,5.452,4.452,4,3,0.243,Ehbrecht 2021,0,https://openalex.org/W1987844115
,light,4,Light transmission and understory vegetation in two old-growth riparian stands : a study in spatial ,2003,1,5.445,4.597,6,3,0.191,Nicotra 1999,0,https://openalex.org/W131088920
10.1073/pnas.0807754105,forest,4,Predicting and understanding forest dynamics using a simple tractable model,2008,1,5.438,5.09,7,3,0.125,Matsuo 2021,0,https://openalex.org/W1975363872
10.1890/01-0617,evo,4,THEORETICAL PERSPECTIVES ON EVOLUTION OF LONG-DISTANCE DISPERSAL AND THE EXAMPLE OF SPECIALIZED PEST,2003,1,5.437,4.854,6,4,0.156,Hamilton & May 1977,0,https://openalex.org/W2020607826
10.1016/j.jtbi.2011.06.031,light,4,Co-dominance and succession in forest dynamics: The role of interspecific differences in crown trans,2011,1,5.435,5.162,7,2,0.115,Matsuo 2021,0,https://openalex.org/W2000663468
10.1111/j.1365-2745.2009.01507.x,forest,4,A greater range of shade‐tolerance niches in nutrient‐rich forests: an explanation for positive rich,2009,1,5.428,4.595,5,3,0.189,Canham 1994,0,https://openalex.org/W2167001978
10.3990/1.9789036547727,light,4,Retrieving the 3D distribution of leaves in forests using Lidar,2019,1,5.421,5.391,7,2,0.083,Stephenson 2005,0,https://openalex.org/W2979562227
10.1016/s0304-3800(01)00503-8,forest,4,Evaluating the potential of the SORTIE forest succession model for spatio-temporal analysis of small,2002,1,5.408,5.4,6,5,0.08,Matsuo 2021,0,https://openalex.org/W1967755345
10.1098/rspb.1999.0696,evo,4,"Habitat persistence, habitat availability and the evolution of dispersal",1999,1,5.4,4.4,6,2,0.221,Hamilton & May 1977,0,https://openalex.org/W2160438694
10.1007/s10342-010-0378-z,light,4,Canopy effects on vegetation caused by harvesting and regeneration treatments,2010,1,5.389,5.298,5,4,0.091,Denslow 1987,0,https://openalex.org/W2165725075
10.1016/s0378-1127(00)00659-9,light,4,Spatial structure of light and dipterocarp seedling growth in a tropical secondary forest,2002,1,5.381,4.479,5,3,0.198,Matsuo 2021,0,https://openalex.org/W1988489503
10.1016/j.rse.2007.01.020,lai,4,The effect of spatial resolution on the accuracy of leaf area index estimation for a forest planted ,2007,1,5.365,4.486,6,2,0.195,Demarez 2008,0,https://openalex.org/W1985673221
10.1119/1.1972842,field,4,Handbook of Mathematical Functions,1966,1,5.358,5.358,6,4,0.066,Hirose 2005,0,https://openalex.org/W2120062331
10.1126/science.1062586,forest,4,Long-Term Studies of Vegetation Dynamics,2001,1,5.358,5.176,5,2,0.103,Caswell 1976,0,https://openalex.org/W2165634723
10.1016/b978-0-12-554520-4.50027-7,forest,4,Bibliography,1985,1,5.353,5.353,4,3,0.0,,0,https://openalex.org/W4240583306
10.1016/j.agrformet.2015.03.014,light,4,"Variability in shortwave irradiance caused by forest gaps: Measurements, modelling, and implications",2015,1,5.352,5.352,7,4,0.065,Piper 2018,0,https://openalex.org/W2069907471
10.1016/s0378-1127(99)00135-8,forest,4,Conifer seedling response to northern temperate forest gaps,2000,1,5.349,4.728,6,3,0.161,Piper 2018,0,https://openalex.org/W2164970990
10.1002/sta4.152,field,4,The modified Matérn process,2017,1,5.345,4.542,5,4,0.185,Guttorp & Gneiting 2006,0,https://openalex.org/W2743404781
10.1890/0012-9658(2003)084[1849:ssagot]2.0.co;2,forest,4,SEEDLING SURVIVAL AND GROWTH OF THREE FOREST TREE SPECIES: THE ROLE OF SPATIAL HETEROGENEITY,2003,1,5.343,5.032,6,2,0.12,Helbach 2022,0,https://openalex.org/W2160711474
10.1646/02118,light,4,Effects of Understory Foliage on Patterns of Light Attenuation near the Forest Floor1,2004,1,5.337,4.337,5,3,0.233,Montgomery & Chazdon 2001,0,https://openalex.org/W4235698284
10.1890/0012-9658(1999)080[1927:epiafs]2.0.co;2,light,4,ERROR PROPAGATION IN A FOREST SUCCESSION MODEL:THE ROLE OF FINE-SCALE HETEROGENEITY IN LIGHT,1999,1,5.336,4.624,6,3,0.173,Gardner 1987 NLM,0,https://openalex.org/W2170030172
10.1101/2022.04.01.486683,lai,4,hemispheR: an R package for fisheye canopy image analysis,2022,1,5.335,4.721,7,2,0.16,Leblanc 2005,0,https://openalex.org/W4223980008
10.1017/s0266467411000253,light,4,Environmental changes during secondary succession in a tropical dry forest in Mexico,2011,1,5.333,4.333,5,3,0.248,Matsuo 2021,0,https://openalex.org/W2159524355
10.1016/b978-0-08-050495-7.50027-2,forest,4,Bibliography,1985,1,5.324,5.324,4,3,0.0,,0,https://openalex.org/W4241069044
10.1111/2041-210x.13273,lai,4,How to better estimate leaf area index and leaf angle distribution from digital hemispherical photog,2019,1,5.324,4.619,6,2,0.172,Leblanc 2005,0,https://openalex.org/W2964270978
10.1198/jasa.2010.tm09420,field,4,Matérn Cross-Covariance Functions for Multivariate Random Fields,2010,1,5.323,4.323,5,3,0.232,Guttorp & Gneiting 2006,0,https://openalex.org/W2030057222
,field,4,SEMIVARIOGRAM METHODS FOR MODELING WHITTLE-MATERN PRIORS IN BAYESIAN INVERSE PROBLEMS,2019,1,5.318,5.0,5,5,0.121,Lindgren 2011 SPDE,0,https://openalex.org/W3102747650
,light,4,"Relationships among leaf area index, below-canopy light availability and tree diversity along a tran",2013,1,5.317,4.317,5,3,0.252,Montgomery & Chazdon 2001,0,https://openalex.org/W2418349037
,forest,4,Mammal-plant dynamics in forests: interactions and implications for understory plant diversity,2005,1,5.313,4.874,5,4,0.137,Piper 2018,0,https://openalex.org/W2102557606
10.1007/bf00031680,forest,4,A theory of the spatial and temporal dynamics of plant communities,1989,1,5.312,4.721,5,2,0.157,Caswell 1976,0,https://openalex.org/W1988348070
10.1109/tgrs.2019.2963366,lai,4,Path Length Correction for Improving Leaf Area Index Measurements Over Sloping Terrains: A Deep Anal,2020,1,5.305,4.919,7,2,0.13,Chianucci 2019,0,https://openalex.org/W3003265362
10.1016/j.foreco.2010.11.013,lai,4,Estimating leaf area index of mature temperate forests using regressions on site and vegetation data,2010,1,5.304,4.304,5,2,0.276,Liu 2018,0,https://openalex.org/W2038406442
,evo,4,Estudos sobre os efeitos da fragmentação da paisagem na dimensão de uma população,2008,1,5.297,5.297,5,5,0.0,,0,https://openalex.org/W2121563708
10.5589/cjrs3503fi,light,4,Full Issue in PDF / Numéro complet enform PDF,2009,1,5.296,5.296,5,3,0.025,Canham 1994,0,https://openalex.org/W4205930972
10.1046/j.1365-2745.1998.00299.x,light,4,Comparative ecology of 11 sympatric species of Macaranga in Borneo: tree distribution in relation to,1998,1,5.293,4.293,5,2,0.216,Matsuo 2021,0,https://openalex.org/W2070173647
10.1139/x09-116,light,4,Comparing indices of understory light availability between hemlock and hardwood forest patches,2009,1,5.29,4.82,7,2,0.141,Canham 1990,0,https://openalex.org/W2122422280
10.1016/j.rse.2013.02.030,lai,4,"GEOV1: LAI, FAPAR essential climate variables and FCOVER global time series capitalizing over existi",2013,1,5.281,4.357,6,2,0.201,Fang 2019 LAI review,0,https://openalex.org/W2007134419
10.2307/2937261,evo,4,Intertidal Landscapes: Disturbance and the Dynamics of Pattern,1981,1,5.278,5.21,6,3,0.088,Runkle 1982,0,https://openalex.org/W2013501805
10.3390/rs14225731,lai,4,"Multisensor Assessment of Leaf Area Index across Ecoregions of Ardabil Province, Northwestern Iran",2022,1,5.271,4.991,8,2,0.116,Fang 2019 LAI review,0,https://openalex.org/W4308971259
,light,4,Understory light and vegetation in two floodplain forests in coastal British Columbia,2010,1,5.268,4.366,5,3,0.198,Helbach 2022,0,https://openalex.org/W206956268
10.1016/0168-1923(90)90030-a,lai,4,Derivation of an angle density function for canopies with ellipsoidal leaf angle distributions,1990,1,5.267,5.267,7,2,0.076,Hirose 2005,0,https://openalex.org/W2003944446
10.1890/08-2334.1,light,4,Unlocking the forest inventory data: relating individual tree performance to unmeasured environmenta,2010,1,5.264,4.666,6,3,0.158,Pacala 1996 SORTIE,0,https://openalex.org/W2044869925
10.2307/3546174,nlm,4,Spatio-Temporal Dispersal Strategies and Annual Plant Species Coexistence in a Structured Landscape,1994,1,5.261,5.117,7,2,0.098,Helbach 2022,0,https://openalex.org/W2052184018
10.1139/x94-219,light,4,Canopy light transmittance in a chronosequence of mixed-species deciduous forests,1994,1,5.26,4.328,5,3,0.202,Montgomery & Chazdon 2001,0,https://openalex.org/W2028825533
10.1111/jvs.12217,light,4,The effect of typhoon‐related defoliation on the ecology of gap dynamics in a subtropical rain fores,2014,1,5.26,4.843,6,4,0.134,Nicotra 1999,0,https://openalex.org/W1971168976
10.1016/j.foreco.2012.07.023,light,4,Effects of reproduction methods and overstory species composition on understory light availability i,2012,1,5.235,4.932,7,3,0.119,Helbach 2022,0,https://openalex.org/W2139933744
10.2307/1940921,light,4,Seedling Crown Orientation and Interception of Diffuse Radiation in Tropical Forest Gaps,1995,1,5.233,4.809,6,2,0.135,Canham 1990,0,https://openalex.org/W2051205335
10.5281/zenodo.188290,lai,4,"Taxonomy and distribution of Abrawayaomys (Rodentia: Cricetidae), an Atlantic Forest endemic with th",2009,1,5.232,5.232,7,2,0.035,Botkin 1972 JABOWA,0,https://openalex.org/W4290827035
10.1002/j.1537-2197.1994.tb15581.x,forest,4,Influence of light level on the growth and morphology of saplings in a panamanian forest,1994,1,5.228,4.417,6,2,0.186,Runkle 1982,0,https://openalex.org/W2015773075
10.1146/annurev.es.20.110189.001131,nlm,4,Landscape Ecology: The Effect of Pattern on Process,1989,1,5.227,4.757,6,3,0.141,Gardner 1987 NLM,0,https://openalex.org/W2063548203
10.2307/2259531,forest,4,Light Requirements of Neotropical Tree Seedlings: A Comparative Study of Growth and Survival,1984,1,5.224,4.618,6,2,0.159,Canham 1994,0,https://openalex.org/W1972772923
10.1139/x00-050,forest,4,"Influence of canopy structure on the understory environment in tall, old-growth, conifer forests",2000,1,5.217,4.217,5,2,0.247,Montgomery & Chazdon 2001,0,https://openalex.org/W2130776472
10.1016/j.srs.2022.100066,lai,4,"Comprehensive evaluation of global CI, FVC, and LAI products and their relationships using high-reso",2022,1,5.21,4.21,6,2,0.219,Fang 2019 LAI review,0,https://openalex.org/W4292843641
,light,4,"Canopy openness, understory light environments, and oak regeneration",2003,1,5.204,4.696,8,2,0.146,Montgomery & Chazdon 2001,0,https://openalex.org/W261710544
10.1017/9781107339217.012,forest,4,Leaf Photosynthesis,2019,1,5.196,4.196,4,3,0.26,Hirose 2005,0,https://openalex.org/W4211226829
10.1017/9781107339217.024,forest,4,Index,2019,1,5.196,4.196,4,3,0.248,Demarez 2008,0,https://openalex.org/W4256671872
10.1890/0012-9658(1997)078[2458:mcotse]2.0.co;2,forest,4,MICROSITE CONTROLS ON TREE SEEDLING ESTABLISHMENT IN CONIFER FOREST CANOPY GAPS,1997,1,5.195,4.468,5,3,0.175,Nicotra 1999,0,https://openalex.org/W2002309626
10.1007/s00468-018-1666-3,lai,4,An objective image analysis method for estimation of canopy attributes from digital cover photograph,2018,1,5.179,4.179,6,2,0.363,Leblanc 2005,0,https://openalex.org/W2793204954
,light,4,CANOPY GAP DYNAMICS OF TWO DIFFERENT FOREST STANDS IN A MALAYSIAN LOWLAND RAIN FOREST,2006,1,5.178,4.178,5,3,0.222,Nicotra 1999,0,https://openalex.org/W2150977240
10.1016/j.foreco.2020.118540,lai,4,Scale-dependent changes in the contributions of biotic and abiotic factors to leaf area index in a n,2020,1,5.178,4.178,5,3,0.379,Liu 2018,0,https://openalex.org/W3083276658
10.1111/j.2517-6161.1974.tb00999.x,field,4,Spatial Interaction and the Statistical Analysis of Lattice Systems,1974,1,5.169,5.101,5,2,0.088,Legendre 1993,0,https://openalex.org/W2114220616
10.2307/3545980,forest,4,Details That Matter: The Spatial Distribution of Individual Trees Maintains Forest Ecosystem Functio,1995,1,5.162,4.867,6,2,0.118,Matsuo 2021,0,https://openalex.org/W2320604410
10.1016/j.envexpbot.2012.09.010,light,4,How do evergreen and deciduous species respond to shade?—Tolerance and plasticity of subtropical tre,2012,1,5.154,4.48,5,3,0.168,Zhu 2016,0,https://openalex.org/W1976246652
10.26021/3133,forest,4,Stand dynamics of mixed-Nothofagus forest,2014,1,5.151,4.742,4,4,0.133,Runkle 1982,0,https://openalex.org/W2287478518
,lai,4,Near-surface remote sensing of canopy architecture and land-atmosphere interactions in an oak savann,2010,1,5.146,4.873,7,2,0.115,Demarez 2008,0,https://openalex.org/W44371384
10.1016/s0034-4257(01)00281-4,light,4,Estimation of tropical forest structural characteristics using large-footprint lidar,2002,1,5.143,4.81,5,2,0.123,Ehbrecht 2021,0,https://openalex.org/W2032771339
10.3390/rs12203457,lai,4,Estimation of LAI with the LiDAR Technology: A Review,2020,1,5.139,4.139,5,2,0.242,Fang 2019 LAI review,0,https://openalex.org/W3094233092
10.1016/0022-5193(80)90099-5,evo,4,Evolutionarily stable dispersal strategies,1980,1,5.135,4.135,5,2,0.533,Hamilton & May 1977,0,https://openalex.org/W1965808288
10.1017/s0266467400008609,light,4,"Canopy closure and the distribution of tropical forest tree species at La Selva, Costa Rica",1995,1,5.132,4.261,5,2,0.194,Denslow 1987,0,https://openalex.org/W2072360134
10.1111/nph.15726,forest,4,Seasonal and drought‐related changes in leaf area profiles depend on height and light environment in,2019,1,5.129,4.129,5,2,0.218,Tang & Dubayah 2017,0,https://openalex.org/W2911727973
10.1017/cbo9780511542039,nlm,4,Spatial Analysis,2005,1,5.127,5.066,6,2,0.087,Legendre 1993,0,https://openalex.org/W4211001371
10.31390/gradschool_dissertations.2452,forest,4,Ecological factors affecting the diversity of tropical tree seedlings,2007,1,5.118,4.823,5,3,0.118,Denslow 1987,0,https://openalex.org/W2521621680
10.1111/j.1365-2745.2005.01012.x,light,4,"The hare, the tortoise and the crocodile: the ecology of angiosperm dominance, conifer persistence a",2005,1,5.115,4.88,6,2,0.11,Stephenson 2005,0,https://openalex.org/W2123031074
10.1016/0040-5809(84)90028-5,evo,4,Dispersal strategies in patchy environments,1984,1,5.112,4.157,4,3,0.205,Hamilton & May 1977,0,https://openalex.org/W1983633846
10.1139/x01-200,light,4,Microclimatic and soil moisture responses to gap formation in coastal Douglas-fir forests,2002,1,5.1,4.57,6,3,0.149,Canham 1990,0,https://openalex.org/W2096923627
10.1016/j.agrformet.2017.06.009,lai,4,Estimating structural parameters of agricultural crops from ground-based multi-angular digital image,2017,1,5.1,4.714,7,2,0.13,Leblanc 2005,0,https://openalex.org/W2726155389
10.1139/cjfr-30-10-1617,forest,4,A long-term study of tree seedling recruitment in southern Appalachian forests: the effects of canop,2000,1,5.099,4.644,6,2,0.139,Helbach 2022,0,https://openalex.org/W2130751061
10.1002/ecs2.2464,light,4,Decadal effects of thinning on understory light environments and plant community structure in a subt,2018,1,5.081,4.202,5,3,0.195,Helbach 2022,0,https://openalex.org/W2897324391
10.1086/303369,forest,4,Strategy Space and the Disturbance Spectrum: A Life‐History Model for Tree Species Coexistence,2000,1,5.076,4.523,6,2,0.152,Runkle 1982,0,https://openalex.org/W2047130393
10.1111/j.0030-1299.2004.13063.x,evo,4,Spatio‐temporal development of forests – current trends in field methods and models,2004,1,5.076,4.735,6,3,0.124,Bolker & Pacala 1997,0,https://openalex.org/W2143640401
10.1016/s0378-1127(97)00113-8,light,4,A gap-based approach for development of silvicultural systems to address ecosystem management object,1997,1,5.056,5.056,6,3,0.054,Fang 2019 LAI review,0,https://openalex.org/W2047389169
10.1590/s0100-84042005000400002,light,4,Estrutura e regeneração de clareiras em florestas pluviais tropicais,2005,1,5.056,5.056,5,3,0.003,Tang & Dubayah 2017,0,https://openalex.org/W2154847884
10.1111/1467-9868.00288,field,4,Fast Sampling of Gaussian Markov Random Fields,2001,1,5.027,4.095,4,3,0.202,Lindgren 2011 SPDE,0,https://openalex.org/W2167943787
10.1111/nph.17998,lai,4,Uncrewed aircraft system spherical photography for the vertical characterization of canopy structura,2022,1,5.023,4.25,6,2,0.181,Inoue 2014 bamboo LAI,0,https://openalex.org/W4210749350
10.1109/igarss39084.2020.9323866,lai,4,"The Relationship Between Canopy Clumping Index (CI), Fractional Vegetation Cover (FVC), and LEAF Are",2020,1,5.021,4.021,5,2,0.214,Fang 2019 LAI review,0,https://openalex.org/W3132567980
10.1046/j.1369-7412.2003.05512.x,field,4,Approximating Likelihoods for Large Spatial Data Sets,2004,1,5.019,4.966,6,2,0.086,Lindgren 2011 SPDE,0,https://openalex.org/W2071379353
10.1007/bf02760325,light,4,A Pre-Harvest Method for Predicting Understory Light Levels Created by Artificial Canopy Gaps,1999,1,5.009,4.047,5,3,0.206,Demarez 2008,0,https://openalex.org/W1984931236
10.2307/1938900,light,4,"Sapling Survival, Growth, and Recruitment: Relationship to Canopy Height in a Neotropical Forest",1991,1,5.008,4.008,5,2,0.241,Runkle 1982,0,https://openalex.org/W1965043554
10.1007/bf02857848,light,4,On the role of microenvironmental heterogeneity in the ecology and diversification of neotropical ra,2001,1,5.005,5.005,5,2,0.051,Liu 2018,0,https://openalex.org/W2056122691
10.1016/0168-1923(96)02345-3,light,4,Modelling light obstruction in three conifer forests using hemispherical photography and fine tree a,1996,1,5.004,4.004,5,2,0.262,Leblanc 2005,0,https://openalex.org/W2065515516
10.1002/9781118136188.refs,field,4,References,2012,1,5.0,5.0,5,5,0.075,Fang 2019 LAI review,0,https://openalex.org/W4211208580
10.1080/01431161.2010.533211,lai,4,"Leaf area and clumping indices for a boreal mixed-wood forest: lidar, hyperspectral, and Landsat mod",2011,1,4.993,4.228,5,2,0.18,Demarez 2008,0,https://openalex.org/W2039393981
10.1016/s0304-3800(01)00238-1,forest,4,Quantifying gap dynamics at the patch mosaic level using a spatially-explicit model of a northern ha,2001,1,4.99,4.755,6,4,0.11,Pacala 1996 SORTIE,0,https://openalex.org/W2083464209
10.34133/remotesensing.0133,lai,4,Analysis of the Directional Characteristics of the Clumping Index (CI) Based on RAMI-V Canopy Scenes,2024,1,4.989,4.633,6,2,0.126,Demarez 2008,0,https://openalex.org/W4392601890
10.2307/2387750,light,4,The Definition of Treefall Gap and Its Effect on Measures of Forest Dynamics,1982,1,4.985,4.977,6,2,0.08,Runkle 1982,0,https://openalex.org/W2329530957
